,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
sec23a,0.005864184,lgaussian_up,0.010153421,0.005864184,0.005864184,0.005864184,0.005864184,0.005864184,0.005864184,0.005864184,0.005864184,0.005864184,0.005864184,0.005864184,0.005864184
serpine2,9.046060162,linlog_up,0.024891341,9.046060162,9.046060162,9.046060162,9.046060162,9.046060162,9.046060162,9.046060162,9.046060162,9.046060162,9.046060162,9.046060162,9.046060162
sf3b3,0.009047117,lgaussian_up,0.005318004,0.009047117,0.009047117,0.009047117,0.009047117,0.009047117,0.009047117,0.009047117,0.009047117,0.009047117,0.009047117,0.009047117,0.009047117
si-dkey-42i9.4,0.022426736,lgaussian_up,0.013677515,0.022426736,0.022426736,0.022426736,0.022426736,0.022426736,0.022426736,0.022426736,0.022426736,0.022426736,0.022426736,0.022426736,0.022426736
slc8a1a,0.016593821,lgaussian_up,0.016529837,0.016593821,0.016593821,0.016593821,0.016593821,0.016593821,0.016593821,0.016593821,0.016593821,0.016593821,0.016593821,0.016593821,0.016593821
smc3,0.016507862,lgaussian_up,0.046896229,0.016507862,0.016507862,0.016507862,0.016507862,0.016507862,0.016507862,0.016507862,0.016507862,0.016507862,0.016507862,0.016507862,0.016507862
snrnp40,0.024152004,lgaussian_up,0.004638592,0.024152004,0.024152004,0.024152004,0.024152004,0.024152004,0.024152004,0.024152004,0.024152004,0.024152004,0.024152004,0.024152004,0.024152004
sox1a,0.00263179,lgaussian_up,0.002896834,0.00263179,0.00263179,0.00263179,0.00263179,0.00263179,0.00263179,0.00263179,0.00263179,0.00263179,0.00263179,0.00263179,0.00263179
sqrdl,-0.000324762,gaussian_down,0.03757383,-0.000324762,-0.000324762,-0.000324762,-0.000324762,-0.000324762,-0.000324762,-0.000324762,-0.000324762,-0.000324762,-0.000324762,-0.000324762,-0.000324762
srp72,0.027710135,lgaussian_up,0.002489875,0.027710135,0.027710135,0.027710135,0.027710135,0.027710135,0.027710135,0.027710135,0.027710135,0.027710135,0.027710135,0.027710135,0.027710135
srsf2b,0.80884389,lgaussian_up,0.00224418,0.80884389,0.80884389,0.80884389,0.80884389,0.80884389,0.80884389,0.80884389,0.80884389,0.80884389,0.80884389,0.80884389,0.80884389
stat3,0.004847659,lgaussian_up,0.007591854,0.004847659,0.004847659,0.004847659,0.004847659,0.004847659,0.004847659,0.004847659,0.004847659,0.004847659,0.004847659,0.004847659,0.004847659
stk25b,11.34955957,linear_down,0.006900296,11.34955957,11.34955957,11.34955957,11.34955957,11.34955957,11.34955957,11.34955957,11.34955957,11.34955957,11.34955957,11.34955957,11.34955957
ta,0.002533844,lgaussian_up,0.002634039,0.002533844,0.002533844,0.002533844,0.002533844,0.002533844,0.002533844,0.002533844,0.002533844,0.002533844,0.002533844,0.002533844,0.002533844
taf9,0.065211816,lgaussian_up,0.004599588,0.065211816,0.065211816,0.065211816,0.065211816,0.065211816,0.065211816,0.065211816,0.065211816,0.065211816,0.065211816,0.065211816,0.065211816
tmco1,0.015833281,lgaussian_up,0.000167353,0.015833281,0.015833281,0.015833281,0.015833281,0.015833281,0.015833281,0.015833281,0.015833281,0.015833281,0.015833281,0.015833281,0.015833281
uchl1,0.230715776,lgaussian_up,1.53E-05,0.230715776,0.230715776,0.230715776,0.230715776,0.230715776,0.230715776,0.230715776,0.230715776,0.230715776,0.230715776,0.230715776,0.230715776
ufd1l,0.05048567,lgaussian_up,0.039788201,0.05048567,0.05048567,0.05048567,0.05048567,0.05048567,0.05048567,0.05048567,0.05048567,0.05048567,0.05048567,0.05048567,0.05048567
usf1,14.23244946,linear_down,0.019685859,14.23244946,14.23244946,14.23244946,14.23244946,14.23244946,14.23244946,14.23244946,14.23244946,14.23244946,14.23244946,14.23244946,14.23244946
usf1l,1.78E-05,gaussian_down,0.001652053,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05,1.78E-05
vdac2,0.015446206,lgaussian_up,0.001119191,0.015446206,0.015446206,0.015446206,0.015446206,0.015446206,0.015446206,0.015446206,0.015446206,0.015446206,0.015446206,0.015446206,0.015446206
wdr36,0.011314398,lgaussian_up,0.002344575,0.011314398,0.011314398,0.011314398,0.011314398,0.011314398,0.011314398,0.011314398,0.011314398,0.011314398,0.011314398,0.011314398,0.011314398
wls,0.004907774,lgaussian_up,0.040913222,0.004907774,0.004907774,0.004907774,0.004907774,0.004907774,0.004907774,0.004907774,0.004907774,0.004907774,0.004907774,0.004907774,0.004907774
wnt1,0.000760242,gaussian_up,0.044858992,0.000760242,0.000760242,0.000760242,0.000760242,0.000760242,0.000760242,0.000760242,0.000760242,0.000760242,0.000760242,0.000760242,0.000760242
zgc-55733,0.017399477,lgaussian_up,0.027669133,0.017399477,0.017399477,0.017399477,0.017399477,0.017399477,0.017399477,0.017399477,0.017399477,0.017399477,0.017399477,0.017399477,0.017399477
